"AUTHENTICATE","MAAK AUTHENTIEK"
"An error has occurred","Er heeft zich een fout voorgedaan"
"Click <a href=""%s"">here</a> to continue shopping.","Klik <a href=""%s"">here</a> om door te gaan met winkelen."
"Customer was redirected to Protx","Klant is doorgestuurd naar Protx"
"DEFERRED","UITGESTELD"
"Debug","Debug"
"Enabled","Aan"
"General contact email will be used if left empty.","Algemene contact email zal worden gebruikt wanneer leeg gelaten."
"Live","Live"
"Mode","Modus"
"New Order Status","Nieuwe Status van de Bestelling"
"Order total amount does not match protx gross total amount","Bestelling totaal bedrag is niet gelijk aan protx bruto totaal bedrag"
"PAYMENT","BETALING"
"Payment Action","Betaling"
"Payment from Applicable Countries","Betaling van Geëigende Landen"
"Payment from Specific Countries","Betaling van Specifieke Landen"
"Protx Standard","Protx Standaard"
"Simulator","Simulator"
"Sort Order","Sorteer Bestelling"
"Store name will be used if left empty.","Opgeslagen naam zal worden gebruikt als u niks invult."
"Test","Test"
"The customer has returned from Protx.","De klant is teruggekeerd van Protx."
"The order %s was canceled by the customer.","De bestelling %s is geannuleerd door de klant."
"Title","Titel"
"Transaction Description","Transactie Beschrijving"
"Vendor Email","Verkoper Email"
"Vendor Email Notification","Verkoper Notificatie Email"
"Vendor Encrypted Password","Verkoper Gecodeerd Wachtwoord"
"Vendor Name","Verkoper Naam"
"You will be redirected to protx in a few seconds.","U wordt doorgestuurd naar protx binnen enkele seconden."
"You will be redirected to the Protx website when you place an order.","U wordt doorgestuurd naar de Protx website als u een bestelling plaatst."
