"Authorization","Berechtigung"
"Card Verification Number","Kreditkartenprüfnummer"
"Credit Card Number","Kreditkartennummer"
"Credit Card Number: xxxx-%s","Kreditkartennummer: xxxx-%s"
"Credit Card Type","Kreditkartentyp"
"Credit Card Type: %s","Kreditkartentyp: %s"
"Credit Card Types","Kreditkartentypen"
"Credit Card Verification","Kreditkarten-Verifizierung"
"Cybersource (SOAP Toolkit)","Cybersource (SOAP Toolkit)"
"Debug","Fehlerbeseitigung"
"Enabled","Aktiviert"
"Error in refunding the payment.","Fehler bei der Rückerstattung der Zahlung."
"Expiration Date","Ablaufdatum"
"Gateway request error: %s","Gateway-Anfragefehler: %s"
"Invalid transaction id or token","Ungültige Transaktions-ID oder -Zeichen"
"Issue Number","Ausstellnummer"
"JCB","JCB"
"Laser","Laser"
"Maestro (International)","Maestro (international)"
"Maestro/Solo(UK Domestic)","Maestro/Solo (Großbritannien Inland)"
"Merchant ID","Händler-ID"
"Name on Card","Name des Inhabers"
"Name on the Card: %s","Name des Inhabers: %s"
"New Order Status","Neuer Bestellstatus"
"Payment Action","Zahlungsaktion"
"Payment from Applicable Countries","Zahlung aus geeigneten Ländern"
"Payment from Specific Countries","Zahlung  aus spezifischen Ländern"
"SOAP extension is not enabled. Please contact us.","SOAP Erweiterung ist nicht aktiviert. Bitte kontaktieren Sie uns."
"Sale","Abverkauf"
"Security Key","Sicherheitsschlüssel"
"Sort Order","Sortierfolge"
"Start Date","Startdatum"
"Switch/Solo/Maestro(UK Domestic) Only","Nur Switch/Solo/Maestro(UK Inland)"
"Switch/Solo/Maestro(UK Domestic) card issue number: %s","Switch/Solo/Maestro(UK Inland) Kartennummer: %s"
"Switch/Solo/Maestro(UK Domestic) card start Date: %s/%s","Switch/Solo/Maestro(UK Inland) Kartenstartdatum: %s/%s"
"Test Mode","Testmodus"
"There is an error in processing the payment. Please try again or contact us.","Bei der Verarbeitung der Zahlung ist ein Fehler aufgetreten. Bitte versuchen Sie es noch einmal oder kontaktieren Sie uns."
"Title","Titel"
"UATP","UATP"
"What is this?","Was ist das?"
"Year","Jahr"
