"API Gateway URL","API Gateway URL"
"Accepted Currency","Devise acceptée"
"An error has occurred","Une erreur s'est produite"
"Card Verification Number","Numéro de vérification de la carte"
"Click <a href=""%s"">here</a> to continue shopping.","Cliquez <a href=""%s"">ici</a> pour continuer vos achats"
"Credit Card Number","Numéro de carte de crédit"
"Credit Card Number: xxxx-%s","Numéro de carte de crédit : xxxx-%s"
"Credit Card Type","Type de carte de crédit"
"Credit Card Type: %s","Type de carte de crédit : %s"
"Credit Card Types","Types de cartes de crédit"
"Credit Card Verification","Vérification de la carte de crédit"
"Customer ID","Identifiant utilisateur"
"Customer was redirected to eWAY.","Le client a été redirigié vers eWay"
"Debug Flag","Debug"
"Enabled","Actif"
"Expiration Date","Date d'expiration"
"Name on Card","Nom sur la carte"
"Name on the Card: %s","Nom sur la carte : %s"
"New Order Status","Nouveau statut commande"
"Payment from Applicable Countries","Paiement depuis les pays applicables"
"Payment from Specific Countries","Paiement depuis les pays spécifiques"
"Please Select","Veuillez choisir"
"Selected currency code (%s) is not compatible with eWAY.","La monnaie sélectionnée n'est pas compatible avec eWAY."
"Sort Order","Trier la commande"
"The customer has successfully returned from eWAY.","Le client est revenu avec succès d'eWAY."
"The customer was rejected by eWAY.","Le client a été refusé par eWAY."
"There has been an error processing your payment.","Une erreur s'est produite lors du traitement de votre paiement."
"There has been an error processing your payment. Please try later or contact us for help.","Une erreur s'est produite lors du traitement de votre paiement. Veuillez réessayer plus tard ou nous contacter pour obtenir de l'aide."
"Title","Titre"
"Use Beagle Anti-Fraud","Utilisez l'anti-fraude Beagle"
"What is this?","Qu'est-ce que c'est ?"
"You will be redirected to eWAY 3D-Secure in a few seconds.","Vous allez être redirigé vers eWAY 3D-Secure dans quelques secondes."
"You will be redirected to eWAY 3D-Secure website when you place an order.","Vous serez redirigé vers le site web eWAY 3D-Secure lorsque vous passerez une commande."
"You will be redirected to eWAY in a few seconds.","Vous allez être redirigé vers eWAY dans quelques secondes."
"You will be redirected to eWAY website when you place an order.","Vous serez redirigé vers le site web eWAY lorsque vous passerez une commande."
"eWAY 3D-Secure","eWAY 3D-Secure"
"eWAY Direct","eWAY Direct"
"eWAY Shared","eWAY partagé"
