Att Set,NUMBER,MODEL NUMBER,PRODUCT NAME,Description,UPC BARCODE NUMBER,Price,DIMENSIONS,Sink Diameter,Sink Length,Sink Width,Sink Height,Back-to-Front,Bowl Depth,Faucet Height,Spout Height,Spout Reach,Center to Center,Unit of measure,Box Size,PACK DEPTH,PACK WIDTH,PACK HEIGHT,GROSS WEIGHT,NET WEIGHT,"Product Status (N=new, O=dsc, A=active)",Product Finish/Color,Product Finish/Color,Size Options,Faucet Holes / Holes Required (#),Other Options (not already listed),Product Materials,Ships Via,Usually Ships In,"Listing, Certificate",ADA Compliant faucet,Disclaimer or Note,Returnable,Minimum Order,product image File,Alt Image 1,Alt Image 2,Alt Image 3,Alt Image 4,Alt Image 5,Alt Image 6,Alt Image 7,Alt Image 8,Alt Image 9,Alt Image 10,Alt Image 11,Alt Image 12,Alt Image 13,Alt Image 14,Alt Image 15,Alt Image 16,Alt Image 17,Alt Image 18,Alt Image 19,Alt Image 20,Alt Image 21,Alt Image 22,Installation Manual's PDF'S,Installation Manual's PDF'S
Bathroom Faucets,BFAU0064,KEF-14300CH,Kraus KEF-14300CH Unicus Single Lever Vessel Faucet Chrome,"<ul>
<li>One of a kind design, sleek lines in a bright polished chrome appearance brings an implied look to any bathroom decor </li>
<li>Add a touch of elegance to your bathroom with a stylish vessel faucet from Kraus</li>
<li>Kraus UNICUS single-hole vessel faucet features eye-catching design</li>
<li>Exquisite Collection</li>
<li>Solid Brass construction</li> 
<li>Available in triple plated chrome finish</li>   
<li>Features Hydroplast ceramic cartridge</li>
<li>Flow Water Rate2.2GPM, 60PSI</li>
<li>Single-hole, top-mount installation</li>
<li>Single lever water and temperature control</li>
<li>Standard US plumbing connections</li>
<li>All mounting hardware and hot/cold waterlines are included</li>
<li>Overall Height: 13”</li>
<li>Height of Spout: 11.2”</li>
<li>Reach:  3.6”</li>
<li>ADA compliant</li>
<li>Manufactured by Kraus</li>
<li>Limited Lifetime Warranty</li>
</ul>",846639009003,200,"Faucet height: 13 inches  
Spout height: 11.2 inches
Spout reach: 3.6 inches",n/a,n/a,n/a,n/a,n/a,n/a,13,11.2,3.6,n/a,inches,"18"" x 12 x 6""",18,12,6,8.3,5.8,N,Chrome,Chrome Finish,none,1,none,solid brass ,Fedex/ UPS,24 - 72 Hours,none,Yes,none,Yes,1,kef-14300ch-1.jpg,kef-14300ch-2.jpg,kef-14300ch-3.jpg,kef-14300ch-4.jpg,kef-14300ch-5.jpg,kef-14300ch-6.jpg,,,,,,,,,,,,,,,,,,KEF-14300.pdf,
Bathroom Faucets,BFAU0065,KEF-14600CH,Kraus KEF-14600CH Sonus Single Lever Vessel Faucet Chrome,"<ul>
<li>It takes vision and creativity to design a masterpiece</li>
<li>Add a touch of elegance to your bathroom with a stylish vessel faucet from Kraus</li>
<li>Kraus SONUS single-hole vessel faucet features eye-catching design</li>
<li>Exquisite Collection</li>
<li>Solid Brass construction</li> 
<li>Available in triple plated chrome finish</li>   
<li>Features Hydroplast ceramic cartridge</li>
<li>Flow Water Rate2.2GPM, 60PSI</li>
<li>Single-hole, top-mount installation</li>
<li>Single lever water and temperature control</li>
<li>Standard US plumbing connections</li>
<li>All mounting hardware and hot/cold waterlines are included</li>
<li>Faucet height: 11.5"" (with lever up 13.4"")</li>
<li>Height of Spout: 10.6”</li>
<li>Reach:  4.6”</li>
<li>ADA compliant</li>
<li>Manufactured by Kraus</li>
<li>Limited Lifetime Warranty</li>
</ul>",846639009010,190,"Faucet height: 11.5 inches (with lever up 13.4 inches)
Spout height: 10.6 inches
Spout reach: 4.6 inches",n/a,n/a,n/a,n/a,n/a,n/a,11.5,10.6,4.6,n/a,inches,"18"" x 12 x 6""",18,12,6,7.8,5.3,N,Chrome,Chrome Finish,none,1,none,solid brass ,Fedex/ UPS,24 - 72 Hours,none,Yes,none,Yes,1,kef-14600ch-1.jpg,kef-14600ch-2.jpg,kef-14600ch-3.jpg,kef-14600ch-4.jpg,kef-14600ch-5.jpg,kef-14600ch-6.jpg,,,,,,,,,,,,,,,,,,KEF-14600.pdf,
Bathroom Faucets,BFAU0066,KEF-14700CH,Kraus KEF-14700CH Illusio Single Lever Vessel Faucet Chrome,"<ul>
<li>Perfection, precision and style may seem as an illusion in real life.  At Kraus, illusion may just be your reality</li>
<li>Add a touch of elegance to your bathroom with a stylish vessel faucet from Kraus</li>
<li>Kraus ILLUSIO single-hole vessel faucet features eye-catching design</li>
<li>Exquisite Collection</li>
<li>Solid Brass construction</li> 
<li>Available in triple plated chrome finish</li>   
<li>Features Hydroplast ceramic cartridge</li>
<li>Flow Water Rate2.2GPM, 60PSI</li>
<li>Single-hole, top-mount installation</li>
<li>Single lever water and temperature control</li>
<li>Standard US plumbing connections</li>
<li>All mounting hardware and hot/cold waterlines are included</li>
<li>Overall Height: 12.6”</li>
<li>Height of Spout: 11.5” </li>
<li>Reach:  4.3”</li> 
<li>ADA compliant</li>
<li>Manufactured by Kraus</li>
<li>Limited Lifetime Warranty</li>
</ul>",846639009027,200,"Faucet height: 12.6 inches  
Spout height: 11.5 inches
Spout reach: 4.3 inches",n/a,n/a,n/a,n/a,n/a,n/a,12.6,11.5,4.3,n/a,inches,"18"" x 12 x 6""",18,12,6,7.9,5.4,N,Chrome,Chrome Finish,none,1,none,solid brass ,Fedex/ UPS,24 - 72 Hours,none,Yes,none,Yes,1,kef-14700ch-1.jpg,kef-14700ch-2.jpg,kef-14700ch-3.jpg,kef-14700ch-4.jpg,kef-14700ch-5.jpg,kef-14700ch-6.jpg,kef-14700ch-7.jpg,kef-14700ch-8.jpg,,,,,,,,,,,,,,,,KEF-14700.pdf,
Bathroom Faucets,BFAU0067,KEF-14800CH,Kraus KEF-14800CH Fantasia Single Lever Vessel Faucet Chrome,"<ul>
<li>One must fantasize to have a vision.  At Kraus our vision is to design beyond the boundaries in a pursuit of perfection</li>
<li>Add a touch of elegance to your bathroom with a stylish vessel faucet from Kraus</li>
<li>Kraus FANTASIA single-hole vessel faucet features eye-catching design</li>
<li>Exquisite Collection</li>
<li>Solid Brass construction</li> 
<li>Available in triple plated chrome finish</li>   
<li>Features Hydroplast ceramic cartridge</li>
<li>Flow Water Rate2.2GPM, 60PSI</li>
<li>Single-hole, top-mount installation</li>
<li>Single lever water and temperature control</li>
<li>Standard US plumbing connections</li>
<li>All mounting hardware and hot/cold waterlines are included</li>
<li>Overall Height: 13.5”</li>
<li>Height of Spout: 11.4""</li>
<li>Reach: 5.3""</li>
<li>ADA compliant</li>
<li>Manufactured by Kraus</li>
<li>Limited Lifetime Warranty</li>
</ul>
",846639009522,230,"Faucet height: 13.5 inches  
Spout height: 11.4 inches
Spout reach: 5.3 inches",n/a,n/a,n/a,n/a,n/a,n/a,13.5,11.4,5.3,n/a,inches,"17"" x 12"" x 10""",17,12,10,10.1,7,N,Chrome,Chrome Finish,none,1,none,solid brass ,Fedex/ UPS,24 - 72 Hours,none,Yes,none,Yes,1,kef-14800ch-1.jpg,kef-14800ch-2.jpg,,,,,,,,,,,,,,,,,,,,,,KEF-14800.pdf,
Bathroom Faucets,BFAU0068,KEF-15000CH,Kraus KEF-15000CH Ventus Single Lever Vessel Faucet Chrome,"<ul>
<li>At Kraus, we use various elements of design to impress and make a statement in order to turn your private space into a truly unique one </li>
<li>Add a touch of elegance to your bathroom with a stylish vessel faucet from Kraus</li>
<li>Kraus VENTUS single-hole vessel faucet features eye-catching design</li>
<li>Exquisite Collection</li>
<li>Solid Brass construction</li> 
<li>Available in triple plated chrome finish</li>   
<li>Features Hydroplast ceramic cartridge</li>
<li>Flow Water Rate2.2GPM, 60PSI</li>
<li>Single-hole, top-mount installation</li>
<li>Single lever water and temperature control</li>
<li>Standard US plumbing connections</li>
<li>All mounting hardware and hot/cold waterlines are included</li>
<li>Overall Height: 12.6”</li>
<li>Height of Spout: 8.8”</li>
<li>Reach:  5.2”</li>
<li>ADA compliant</li>
<li>Manufactured by Kraus</li>
<li>Limited Lifetime Warranty</li>
</ul>",846639009034,170,"Faucet height: 12.7 inches  
Spout height: 8.8 inches
Spout reach: 5.3 inches",n/a,n/a,n/a,n/a,n/a,n/a,12.7,8.8,5.3,n/a,inches,"18"" x 12 x 6""",18,12,6,6.4,3.9,N,Chrome,Chrome Finish,none,1,none,solid brass ,Fedex/ UPS,24 - 72 Hours,none,Yes,none,Yes,1,KEF-15000ch-1.jpg,KEF-15000ch-2.jpg,KEF-15000ch-3.jpg,KEF-15000ch-4.jpg,KEF-15000ch-5.jpg,KEF-15000ch-6.jpg,KEF-15000ch-7.jpg,,,,,,,,,,,,,,,,,KEF-15000.pdf,
Bathroom Faucets,BFAU0069,KEF-15100CH,Kraus KEF-15100CH Typhon Single Lever Vessel Faucet Chrome,"<ul>
<li>Discover the brilliance of exquisite bathroom décor and enhance your way of living </li>
<li>Add a touch of elegance to your bathroom with a stylish vessel faucet from Kraus</li>
<li>Kraus TYPHON single-hole vessel faucet features eye-catching design</li>
<li>Exquisite Collection</li>
<li>Solid Brass construction</li> 
<li>Available in triple plated chrome finish</li>   
<li>Features high-quality Hydroplast ceramic cartridge</li>
<li>Flow Water Rate2.2GPM, 60PSI</li>
<li>Single-hole, top-mount installation</li>
<li>Single lever water and temperature control</li>
<li>Standard US plumbing connections</li>
<li>All mounting hardware and hot/cold waterlines are included</li>
<li>Overall Height: 11.7”</li>
<li>Height of Spout: 10.7”</li>
<li>Reach: 6.7""</li>
<li>ADA compliant</li>
<li>Manufactured by Kraus</li>
<li>Limited Lifetime Warranty</li>
</ul>",846639009041,190,"Faucet height: 11.7 inches  
Spout height: 10.7 inches
Spout reach: 6.7 inches",n/a,n/a,n/a,n/a,n/a,n/a,11.7,10.7,6.7,n/a,inches,"18"" x 12 x 6""",18,12,6,6.2,3.7,N,Chrome,Chrome Finish,none,1,none,solid brass ,Fedex/ UPS,24 - 72 Hours,none,Yes,none,Yes,1,kef-15100ch-1.jpg,kef-15100ch-2.jpg,kef-15100ch-3.jpg,kef-15100ch-4.jpg,kef-15100ch-5.jpg,kef-15100ch-6.jpg,kef-15100ch-7.jpg,kef-15100ch-8.jpg,kef-15100ch-9.jpg,kef-15100ch-10.jpg,,,,,,,,,,,,,,KEF-15100.pdf,
Bathroom Faucets,BFST0027,KEF-14300-PU-10CH,Kraus KEF-14300-PU-10CH Unicus Single Lever Vessel Faucet with Pop Up Drain Chrome,"<ul>
<li>One of a kind design, sleek lines in a bright polished chrome appearance brings an implied look to any bathroom decor </li>
<li>Add a touch of elegance to your bathroom with a stylish vessel faucet from Kraus</li>
<li>Kraus UNICUS single-hole vessel faucet features eye-catching design</li>
<li>Exquisite Collection</li>
<li>Solid Brass construction</li> 
<li>Available in triple plated chrome finish</li>   
<li>Features Hydroplast ceramic cartridge</li>
<li>Flow Water Rate2.2GPM, 60PSI</li>
<li>Single-hole, top-mount installation</li>
<li>Single lever water and temperature control</li>
<li>Standard US plumbing connections</li>
<li>All mounting hardware and hot/cold waterlines are included</li>
<li>Overall Height: 13”</li>
<li>Height of Spout: 11.2”</li>
<li>Reach:  3.6”</li>
<li>ADA compliant</li>
<li>Manufactured by Kraus</li>
<li>Limited Lifetime Warranty</li>
<li><strong><u>Pop Up Drain</u></strong></li> 
<li>Pop Up Drain is constructed from solid brass and available in Chrome finish </li>
<li>Designed to work with any vessel sink with above counter installation, including glass, stone and ceramic (without overflow)</li> 
<li>Fits any standard 1.75 inch opening installation</li>
<li>All rubber gaskets needed for installation of the drain are included</li>
<li>7 inches high x 3 inches diameter (at the top) with 1.25-inch diameter at the bottom</li>
<li>Flange is 2.25 inches diameter</li>
<li>Manufactured by Kraus</li>
<li>Limited Lifetime Warranty</li>
</ul>",846639009584,220,"Faucet height: 13 inches    
Spout height: 11.2 inches
Spout reach: 3.6 inches
Pop Up Drain: 7 inches high x 3 inches diameter (at the top)
",n/a,n/a,n/a,n/a,n/a,n/a,13,11.2,3.6,n/a,inches,"18"" x 12 x 6""",18,12,6,10.3,7.3,N,Chrome,Chrome Finish,none,2,none,solid brass ,Fedex/ UPS,24 - 72 Hours,none,Yes,none,Yes,1,kef-14300-pu-10ch-1.jpg,kef-14300-pu-10ch-2.jpg,kef-14300-pu-10ch-3.jpg,kef-14300-pu-10ch-4.jpg,kef-14300-pu-10ch-5.jpg,kef-14300-pu-10ch-6.jpg,kef-14300-pu-10ch-7.jpg,,,,,,,,,,,,,,,,,KEF-14300.pdf,
Bathroom Faucets,BFST0028,KEF-14600-PU-10CH,Kraus KEF-14600-PU-10CH Sonus Single Lever Vessel Faucet with Pop Up Drain Chrome,"<ul>
<li>It takes vision and creativity to design a masterpiece</li>
<li>Add a touch of elegance to your bathroom with a stylish vessel faucet from Kraus</li>
<li>Kraus SONUS single-hole vessel faucet features eye-catching design</li>
<li>Exquisite Collection</li>
<li>Solid Brass construction</li> 
<li>Available in triple plated chrome finish</li>   
<li>Features Hydroplast ceramic cartridge</li>
<li>Flow Water Rate2.2GPM, 60PSI</li>
<li>Single-hole, top-mount installation</li>
<li>Single lever water and temperature control</li>
<li>Standard US plumbing connections</li>
<li>All mounting hardware and hot/cold waterlines are included</li>
<li>Faucet height: 11.5"" (with lever up 13.4"")</li>
<li>Height of Spout: 10.6”</li>
<li>Reach:  4.6”</li>
<li>ADA compliant</li>
<li>Manufactured by Kraus</li>
<li>Limited Lifetime Warranty</li>
<li><strong><u>Pop Up Drain</u></strong></li> 
<li>Pop Up Drain is constructed from solid brass and available in Chrome finish</li>
<li>Designed to work with any vessel sink with above counter installation, including glass, stone and ceramic (without overflow)</li> 
<li>Fits any standard 1.75 inch opening installation</li>
<li>All rubber gaskets needed for installation of the drain are included</li>
<li>7 inches high x 3 inches diameter (at the top) with 1.25-inch diameter at the bottom</li>
<li>Flange is 2.25 inches diameter</li>
<li>Manufactured by Kraus</li>
<li>Limited Lifetime Warranty</li>
</ul>",846639009591,210,"Faucet height: 11.5 inches (with lever up 13.4 inches) 
Spout height: 10.6 inches
Spout reach: 4.6 inches
Pop Up Drain: 7 inches high x 3 inches diameter (at the top)
",n/a,n/a,n/a,n/a,n/a,n/a,11.5,10.6,4.6,n/a,inches,"18"" x 12 x 6""",18,12,6,9.8,6.8,N,Chrome,Chrome Finish,none,2,none,solid brass ,Fedex/ UPS,24 - 72 Hours,none,Yes,none,Yes,1,kef-14600-pu-10ch-1.jpg,kef-14600-pu-10ch-2.jpg,kef-14600-pu-10ch-3.jpg,kef-14600-pu-10ch-4.jpg,kef-14600-pu-10ch-5.jpg,kef-14600-pu-10ch-6.jpg,kef-14600-pu-10ch-7.jpg,,,,,,,,,,,,,,,,,KEF-14600.pdf,
Bathroom Faucets,BFST0029,KEF-14700-PU-10CH,Kraus KEF-14700-PU-10CH Illusio Single Lever Vessel Faucet with Pop Up Drain Chrome,"<ul>
<li>Perfection, precision and style may seem as an illusion in real life.  At Kraus, illusion may just be your reality</li>
<li>Add a touch of elegance to your bathroom with a stylish vessel faucet from Kraus</li>
<li>Kraus ILLUSIO single-hole vessel faucet features eye-catching design</li>
<li>Exquisite Collection</li>
<li>Solid Brass construction</li> 
<li>Available in triple plated chrome finish</li>   
<li>Features Hydroplast ceramic cartridge</li>
<li>Flow Water Rate2.2GPM, 60PSI</li>
<li>Single-hole, top-mount installation</li>
<li>Single lever water and temperature control</li>
<li>Standard US plumbing connections</li>
<li>All mounting hardware and hot/cold waterlines are included</li>
<li>Overall Height: 12.6”</li>
<li>Height of Spout: 11.5” </li>
<li>Reach:  4.3”</li> 
<li>ADA compliant</li>
<li>Manufactured by Kraus</li>
<li>Limited Lifetime Warranty</li>
<li><strong><u>Pop Up Drain</u></strong></li> 
<li>Pop Up Drain is constructed from solid brass and available in Chrome finish</li>
<li>Designed to work with any vessel sink with above counter installation, including glass, stone and ceramic (without overflow)</li> 
<li>Fits any standard 1.75 inch opening installation</li>
<li>All rubber gaskets needed for installation of the drain are included</li>
<li>7 inches high x 3 inches diameter (at the top) with 1.25-inch diameter at the bottom</li>
<li>Flange is 2.25 inches diameter</li>
<li>Manufactured by Kraus</li>
<li>Limited Lifetime Warranty</li>
</ul>",846639009607,220,"Faucet height: 12.6 inches  
Spout height: 11.5 inches
Spout reach: 4.3 inches
Pop Up Drain: 7 inches high x 3 inches diameter (at the top)
",n/a,n/a,n/a,n/a,n/a,n/a,12.6,11.5,4.3,n/a,inches,"18"" x 12 x 6""",18,12,6,9.9,6.9,N,Chrome,Chrome Finish,none,2,none,solid brass ,Fedex/ UPS,24 - 72 Hours,none,Yes,none,Yes,1,kef-14700-pu-10ch-1.jpg,kef-14700-pu-10ch-2.jpg,kef-14700-pu-10ch-3.jpg,kef-14700-pu-10ch-4.jpg,kef-14700-pu-10ch-5.jpg,kef-14700-pu-10ch-6.jpg,kef-14700-pu-10ch-7.jpg,,,,,,,,,,,,,,,,,KEF-14700.pdf,
Bathroom Faucets,BFST0030,KEF-14800-PU-10CH,Kraus KEF-14800-PU-10CH Fantasia Single Lever Vessel Faucet with Pop Up Drain Chrome,"<ul>
<li>One must fantasize to have a vision.  At Kraus our vision is to design beyond the boundaries in a pursuit of perfection</li>
<li>Add a touch of elegance to your bathroom with a stylish vessel faucet from Kraus</li>
<li>Kraus FANTASIA single-hole vessel faucet features eye-catching design</li>
<li>Exquisite Collection</li>
<li>Solid Brass construction</li> 
<li>Available in triple plated chrome finish</li>   
<li>Features Hydroplast ceramic cartridge</li>
<li>Flow Water Rate2.2GPM, 60PSI</li>
<li>Single-hole, top-mount installation</li>
<li>Single lever water and temperature control</li>
<li>Standard US plumbing connections</li>
<li>All mounting hardware and hot/cold waterlines are included</li>
<li>Overall Height: 13.5”</li>
<li>Height of Spout: 11.4""</li>
<li>Reach:  5.3""</li>
<li>ADA compliant</li>
<li>Manufactured by Kraus</li>
<li>Limited Lifetime Warranty</li>
<li><strong><u>Pop Up Drain</u></strong></li> 
<li>Pop Up Drain is constructed from solid brass and available in Chrome finish</li>
<li>Designed to work with any vessel sink with above counter installation, including glass, stone and ceramic (without overflow)</li> 
<li>Fits any standard 1.75 inch opening installation</li>
<li>All rubber gaskets needed for installation of the drain are included</li>
<li>7 inches high x 3 inches diameter (at the top) with 1.25-inch diameter at the bottom</li>
<li>Flange is 2.25 inches diameter</li>
<li>Manufactured by Kraus</li>
<li>Limited Lifetime Warranty</li>
</ul>
",846639009614,250,"Faucet height: 13.5 inches  
Spout height: 11.4 inches
Spout reach: 5.3 inches
Pop Up Drain: 7 inches high x 3 inches diameter (at the top)
",n/a,n/a,n/a,n/a,n/a,n/a,13.5,11.4,5.3,n/a,inches,"17"" x 12"" x 10""",17,12,10,12.1,8.5,N,Chrome,Chrome Finish,none,2,none,solid brass ,Fedex/ UPS,24 - 72 Hours,none,Yes,none,Yes,1,kef-14800-pu-10ch-1.jpg,kef-14800-pu-10ch-2.jpg,kef-14800-pu-10ch-3.jpg,,,,,,,,,,,,,,,,,,,,,KEF-14800.pdf,
