"Authorization","Autorisatie"
"Card Verification Number","Kaartverificatienummer"
"Credit Card Number","Nummer creditcard"
"Credit Card Number: xxxx-%s","Nummer creditcard xxxx-%s"
"Credit Card Type","Type credit card"
"Credit Card Type: %s","Type credit card: %s"
"Credit Card Types","Types credit card"
"Credit Card Verification","Credit Card Verificatie"
"Cybersource (SOAP Toolkit)","Cybersource (SOAP Toolkit)"
"Debug","Debug"
"Enabled","Aan"
"Error in refunding the payment.","Fout in de terugstorting van de betaling."
"Expiration Date","Houdbaarheidsdatum"
"Gateway request error: %s","Gateway verzoek fout: %s"
"Invalid transaction id or token","Ongeldige transactie identificatie of teken"
"Issue Number","Uitgave Nummer"
"JCB","JCB"
"Laser","Laser"
"Maestro (International)","Maestro (Internationaal)"
"Maestro/Solo(UK Domestic)","Maestro/Solo(Verenigd Koninkrijk Binnenlands)"
"Merchant ID","Verkopers Identificatie"
"Name on Card","Naam Op Kaart"
"Name on the Card: %s","Naam op de Kaart: %s"
"New Order Status","Nieuwe Status van de Bestelling"
"Payment Action","Betaling"
"Payment from Applicable Countries","Betaling van Geëigende Landen"
"Payment from Specific Countries","Betaling van Specifieke Landen"
"SOAP extension is not enabled. Please contact us.","SOAP extensie is niet ingeschakeld. Neem alstublieft contact met ons op."
"Sale","Verkoop"
"Security Key","Beveiligingssleutel"
"Sort Order","Sorteer Bestelling"
"Start Date","Begindatum"
"Switch/Solo/Maestro(UK Domestic) Only","Alleen Switch/Solo/Maestro (UK Domestic)"
"Switch/Solo/Maestro(UK Domestic) card issue number: %s","Switch/Solo/Maestro(UK Domestic) kaartnummer: %s"
"Switch/Solo/Maestro(UK Domestic) card start Date: %s/%s","Switch/Solo/Maestro(UK Domestic) afgiftedatum: %s/%s"
"Test Mode","Test modus"
"There is an error in processing the payment. Please try again or contact us.","Er is een fout in het verwerken van de betaling. Probeer het nog een keer of neem contact met ons op alstublieft."
"Title","Titel"
"UATP","UATP"
"What is this?","Wat is dit?"
"Year","Jaar"
