"%s is not a supported currency.","%s wird als Währung nicht unterstützt."
"Accept","Akzeptieren"
"Basic","Grundlagen"
"Cannot retrieve rate from %s to %s.","Kann die Rate von %s zu %s nicht abrufen."
"Cannot retrieve rate from Strikeiron.","Kann die Rate von Strikeirion nicht abrufen."
"Check All Email Servers","Alle E-Mail-Server überprüfen"
"Complete","Vervollständigen"
"Country/Region/Postal Code Combination","Land/Region/Postleitzahl-Kombination"
"Customer Tax Class","Steuerklasse Kunde"
"Email Verification","E-Mail-Bestätigung"
"Enable Email Verification","E-Mail-Bestätigung aktivieren"
"Enable Foreign Exchange Rate","Umtauschraten aktivieren"
"Enable Global Address Verification","Globale Adressverifizierung aktivieren"
"Enable Sales and Use Tax","Umsatzsteuer aktivieren"
"Enable US Address Verification","US-Adressverifizierung aktivieren"
"Error Address Action","Fehler Aktion bei der Adresse"
"Error Email Recipient","Fehler E-Mail-Empfänger"
"Error Email Sender","Fehler E-Mail-Versender"
"Error Email Template","Fehler E-Mail Muster"
"Foreign Exchange Rates","Wechselkurs Währungen"
"Global Address Verification","Globale Adressverifizierung"
"If type is complete and zip code belongs to multiple tax rates, choose to charge minimum tax rate or maximum tax rate.","Falls alles ausgefüllt wurde und die Postleitzahl zu verschiedenen Steuersätzen gehört, wählen Sie den minimalen oder maximalen Steuersatz."
"Invalid email address.","Ungültige E-Mail-Adresse."
"Maximum Tax Rate","Maximaler Steuersatz"
"Minimum Tax Rate","Minimaler Steuersatz"
"Password","Passwort"
"Pop up warning and accept","Pop-up Warnung und Annehmen"
"Product Tax Class","Steuerklasse des Produktes"
"Reject","Verwerfen"
"Sales and Use Tax","Umsatz- und Gebrauchsteuer"
"Sales and Use Tax Type","Typ der Umsatz- und Gebrauchsteuer"
"Strikeiron","Strikeiron"
"Strikeiron Config","Strikeiron-Konfiguration"
"Strikeiron Section","Strikeiron Bereich"
"Strikeiron foreign exchange rate is disabled.","Strikeiron-Umtauschkurs ist deaktiviert."
"Tax","Steuern"
"The email address cannot be verified. Please check again and make sure your email address is entered correctly.","Die E-Mail-Adresse konnte nicht verifiziert werden. Bitte überprüfen Sie sie nochmal und stellen Sie sicher, dass Sie Ihre E-Mail-Adresse korrekt eingegeben haben."
"There are no more hits remaining for the foreign Exchange Rate Service.","Es sind keine Hits mehr übrig für den Umtauschkurs-Service"
"There is an error in retrieving the tax rate. Please contact us.","Ein Fehler ist aufgetreten beim Aufrufen des Steuersatzes. Bitte kontaktieren Sie uns."
"There is an error in verifying an email. Please contact us.","Ein Fehler beim Verifizieren Ihrer E-Mail-Adresse ist aufgetreten. Bitte kontaktieren Sie uns."
"There is no response back from Strikeiron server.","Keine Antwort vom Strikeiron-Server erhalten."
"US Address Verification","US-Adressbestätigung"
"Undetermined Email Action","Unbeendeter E-mail-Vorgang"
"Use","Verwenden"
"User ID","Benutzer-ID"
"Verify Address in Admin","Adresse in der Administration bestätigen"
"Verify Email in Admin","E-Mail in der Administration bestätigen"
