"API Gateway URL","API Gateway URL"
"Accepted Currency","Geaccepteerde munteenheid"
"An error has occurred","Er heeft zich een fout voorgedaan"
"Card Verification Number","Kaartverificatienummer"
"Click <a href=""%s"">here</a> to continue shopping.","Klik <a href=""%s"">here</a> om door te gaan met winkelen."
"Credit Card Number","Nummer creditcard"
"Credit Card Number: xxxx-%s","Nummer creditcard xxxx-%s"
"Credit Card Type","Type credit card"
"Credit Card Type: %s","Type credit card: %s"
"Credit Card Types","Types credit card"
"Credit Card Verification","Credit Card Verificatie"
"Customer ID","Klant ID"
"Customer was redirected to eWAY.","Klant is doorgestuurd naar eWAY."
"Debug Flag","Debug Flag"
"Enabled","Aan"
"Expiration Date","Houdbaarheidsdatum"
"Name on Card","Naam Op Kaart"
"Name on the Card: %s","Naam op de Kaart: %s"
"New Order Status","Nieuwe Status van de Bestelling"
"Payment from Applicable Countries","Betaling van Geëigende Landen"
"Payment from Specific Countries","Betaling van Specifieke Landen"
"Please Select","Selecteer A.U.B."
"Selected currency code (%s) is not compatible with eWAY.","Geselecteerde valuta code (%s) is niet compatibel met eWAY."
"Sort Order","Sorteer Bestelling"
"The customer has successfully returned from eWAY.","De klant is succesvol teruggekeerd van eWAY."
"The customer was rejected by eWAY.","Deze klant is afgewezen door eWAY."
"There has been an error processing your payment.","Er is een fout opgetreden bij het verwerken van uw betaling."
"There has been an error processing your payment. Please try later or contact us for help.","Er is een fout opgetreden bij het verwerken van uw betaling. Probeer het alstublieft later nog eens of neem contact met ons op om hulp te krijgen."
"Title","Titel"
"Use Beagle Anti-Fraud","Gebruik Beagle Anti-Fraud"
"What is this?","Wat is dit?"
"You will be redirected to eWAY 3D-Secure in a few seconds.","U wordt doorgestuurd naar eWAY 3D-Secure binnen enkele seconden."
"You will be redirected to eWAY 3D-Secure website when you place an order.","U wordt doorgestuurd naar de eWAY 3D-Secure website wanneer u een bestelling plaatst."
"You will be redirected to eWAY in a few seconds.","U wordt doorgestuurd naar eWAY binnen enkele seconden."
"You will be redirected to eWAY website when you place an order.","U wordt doorgestuurd naar de eWAY website wanneer u een bestelling plaatst."
"eWAY 3D-Secure","eWAY 3D-Secure"
"eWAY Direct","eWAY Direct"
"eWAY Shared","eWAY Shared"
